search: min=0.00% (128_75.sanitized), max=96.43% (MASG0_72_keystream76_0)
stable: min=1.58% (REGRandom-K4-L1-Seed30.sanitized), max=55.70% (004)
propagate: min=0.00% (), max=0.00% ()
decide: min=0.00% (), max=0.00% ()
restart: min=0.00% (), max=0.00% ()
rephase: min=0.00% (), max=0.00% ()
reduce: min=0.05% (asconhashv12_opt64_H11_M2-tBi5i1RIgRz_m0_1_U23.c), max=5.84% (rphp_p8_r170.sanitized)
collect: min=0.00% (), max=0.00% ()
analyze: min=0.00% (), max=0.00% ()
minimize: min=0.00% (), max=0.00% ()
shrink: min=0.00% (), max=0.00% ()
bump: min=0.00% (), max=0.00% ()
focused: min=1.01% (REGRandom-K4-L1-Seed30.sanitized), max=58.25% (asconhashv12_opt64_H11_M2-fCHjS2L0du5_m2_4.c)
simplify: min=0.00% (128_75.sanitized), max=55.24% (si2-b03m-m800-03)
eliminate: min=0.00% (lec_mult_CvK_12x12.sanitized), max=16.77% (exam_flat_0.04_2018_3)
definition: min=0.00% (), max=0.00% ()
probe: min=2.74% (asconhashv12_opt64_H11_M2-MxJOnbQIXNd_m5_6.c), max=88.79% (REGRandom-K4-L1-Seed30.sanitized)
vivify: min=0.76% (asconhashv12_opt64_H11_M2-MxJOnbQIXNd_m5_6.c), max=16.96% (circuit_32in32out_with_350gates_6in6out_dist64_seed1.sanitized)
vivifysort: min=0.00% (), max=0.00% ()
vivify0: min=0.00% (), max=0.00% ()
vivify1: min=0.00% (), max=0.00% ()
vivify2: min=0.00% (), max=0.00% ()
substitute: min=0.02% (lec_mult_CvK_12x11.sanitized), max=21.13% (si2-b03m-m800-03)
transitive: min=0.00% (x9-12021.sat.sanitized), max=1.86% (pb_300_05_lb_17)
backbone: min=0.00% (stb_531_83.apx_1_DC-ST), max=3.37% (ITC2021_Early_3.xml)
deduce: min=0.00% (), max=0.00% ()
subsume: min=0.00% (stb_531_83.apx_1_DC-ST), max=9.30% (circuit_32in32out_with_100gates_7in7out_dist64_seed2.sanitized)
forward: min=0.00% (), max=0.00% ()
geep: min=0.00% (), max=0.00% ()
factor: min=0.00% (lec_mult_CvK_12x11.sanitized), max=82.02% (REGRandom-K4-L1-Seed30.sanitized)
sweep: min=0.04% (tseitin_d3_n162.sanitized), max=61.22% (Break_unsat_04_03.xml)
sweepbackbone: min=0.00% (), max=0.00% ()
sweepequivalences: min=0.00% (), max=0.00% ()
congruence: min=0.00% (stb_531_83.apx_1_DC-ST), max=71.78% (hwmcc17miters-xits-iso-oski15a08b08s.sanitized)
extract: min=0.00% (), max=0.00% ()
extractands: min=0.00% (), max=0.00% ()
extractbinaries: min=0.00% (), max=0.00% ()
extractites: min=0.00% (), max=0.00% ()
extractxors: min=0.00% (), max=0.00% ()
matching: min=0.00% (), max=0.00% ()
merge: min=0.00% (), max=0.00% ()
preprocess: min=0.00% (lec_mult_CvK_12x11.sanitized), max=91.19% (REGRandom-K4-L1-Seed30.sanitized)
sort: min=0.00% (), max=0.00% ()
radix: min=0.00% (), max=0.00% ()
walking: min=0.05% (ER_400_20_7.apx_2_DC-AD), max=7.19% (StConn_7_128.sanitized)
warmup: min=0.00% (), max=0.00% ()
lucky: min=0.00% (stb_531_83.apx_1_DC-ST), max=28.88% (g2-ak128boothbg2msaig)
parse: min=0.00% (stb_531_83.apx_1_DC-ST), max=100.00% (128_125.sanitized)
defrag: min=0.00% (), max=0.00% ()
reorder: min=0.00% (), max=0.00% ()
